team_id_home,home_team,game_id,game_date,matchup_home,wl_home,fgm_home,fga_home,fg_pct_home,fg3m_home,fg3a_home,fg3_pct_home,ftm_home,fta_home,ft_pct_home,pts_home,team_id_away,team_abbreviation_away,wl_away,fgm_away,fga_away,fg_pct_away,fg3m_away,fg3a_away,fg3_pct_away,ftm_away,fta_away,ft_pct_away,pts_away
1610612760,OKC,20800041,02/11/2008 00:00,OKC vs. MIN,W,37,88,0.42,1,3,0.333,13,20,0.65,88,1610612750,MIN,L,33,77,0.429,3,12,0.25,16,16,1,85
1610612755,PHI,20800044,03/11/2008 00:00,PHI vs. SAC,W,45,76,0.592,10,13,0.769,25,35,0.714,125,1610612758,SAC,L,36,76,0.474,4,15,0.267,15,18,0.833,91
1610612742,DAL,20800046,03/11/2008 00:00,DAL vs. CLE,L,29,71,0.408,3,15,0.2,20,26,0.769,81,1610612739,CLE,W,35,79,0.443,5,14,0.357,25,32,0.781,100
1610612763,MEM,20800045,03/11/2008 00:00,MEM vs. GSW,W,36,78,0.462,4,9,0.444,14,21,0.667,90,1610612744,GSW,L,33,96,0.344,3,20,0.15,10,14,0.714,79
1610612766,CHA,20800042,03/11/2008 00:00,CHA vs. DET,L,26,59,0.441,3,11,0.273,28,35,0.8,83,1610612765,DET,W,42,84,0.5,8,16,0.5,9,11,0.818,101
1610612753,ORL,20800043,03/11/2008 00:00,ORL vs. CHI,W,33,80,0.413,9,27,0.333,21,31,0.677,96,1610612741,CHI,L,38,86,0.442,5,13,0.385,12,18,0.667,93
1610612746,LAC,20800047,03/11/2008 00:00,LAC vs. UTA,L,29,72,0.403,6,19,0.316,9,20,0.45,73,1610612762,UTA,W,32,77,0.416,0,10,0,25,31,0.806,89
1610612759,SAS,20800050,04/11/2008 00:00,SAS vs. DAL,L,30,72,0.417,7,20,0.35,14,20,0.7,81,1610612742,DAL,W,43,81,0.531,7,17,0.412,5,5,1,98
1610612751,NJN,20800048,04/11/2008 00:00,NJN vs. PHX,L,28,83,0.337,7,22,0.318,23,26,0.885,86,1610612756,PHX,W,43,68,0.632,12,18,0.667,16,23,0.696,114
1610612745,HOU,20800049,04/11/2008 00:00,HOU vs. BOS,L,34,87,0.391,7,24,0.292,24,28,0.857,99,1610612738,BOS,W,40,77,0.519,3,12,0.25,20,27,0.741,103
1610612739,CLE,20800055,05/11/2008 00:00,CLE vs. CHI,W,37,82,0.451,5,15,0.333,28,33,0.848,107,1610612741,CHI,L,31,79,0.392,8,21,0.381,23,27,0.852,93
1610612758,SAC,20800061,05/11/2008 00:00,SAC vs. MEM,W,39,74,0.527,6,10,0.6,16,23,0.696,100,1610612763,MEM,L,31,71,0.437,11,23,0.478,22,32,0.688,95
1610612747,LAL,20800063,05/11/2008 00:00,LAL vs. LAC,W,33,85,0.388,8,22,0.364,32,45,0.711,106,1610612746,LAC,L,35,90,0.389,8,23,0.348,10,15,0.667,88
1610612760,OKC,20800059,05/11/2008 00:00,OKC vs. BOS,L,31,84,0.369,6,13,0.462,15,19,0.789,83,1610612738,BOS,W,36,83,0.434,7,17,0.412,17,23,0.739,96
1610612762,UTA,20800060,05/11/2008 00:00,UTA vs. POR,W,39,74,0.527,4,11,0.364,21,22,0.955,103,1610612757,POR,L,32,73,0.438,10,19,0.526,22,27,0.815,96
1610612761,TOR,20800052,05/11/2008 00:00,TOR vs. DET,L,34,75,0.453,6,15,0.4,19,21,0.905,93,1610612765,DET,W,39,85,0.459,3,12,0.25,19,22,0.864,100
1610612749,MIL,20800056,05/11/2008 00:00,MIL vs. WAS,W,45,91,0.495,5,17,0.294,17,26,0.654,112,1610612764,WAS,L,34,78,0.436,2,18,0.111,34,51,0.667,104
1610612752,NYK,20800054,05/11/2008 00:00,NYK vs. CHA,W,38,77,0.494,12,26,0.462,13,14,0.929,101,1610612766,CHA,L,41,84,0.488,5,10,0.5,11,15,0.733,98
1610612750,MIN,20800057,05/11/2008 00:00,MIN vs. SAS,L,47,106,0.443,8,19,0.421,23,28,0.821,125,1610612759,SAS,W,50,97,0.515,6,13,0.462,23,28,0.821,129
1610612748,MIA,20800053,05/11/2008 00:00,MIA vs. PHI,W,39,83,0.47,6,20,0.3,22,28,0.786,106,1610612755,PHI,L,27,72,0.375,5,15,0.333,24,26,0.923,83
1610612754,IND,20800051,05/11/2008 00:00,IND vs. PHX,L,37,83,0.446,9,25,0.36,20,27,0.741,103,1610612756,PHX,W,43,77,0.558,5,16,0.313,22,29,0.759,113
1610612740,NOH,20800058,05/11/2008 00:00,NOH vs. ATL,L,30,71,0.423,7,20,0.35,12,15,0.8,79,1610612737,ATL,W,34,79,0.43,12,30,0.4,7,13,0.538,87
1610612744,GSW,20800062,05/11/2008 00:00,GSW vs. DEN,W,42,90,0.467,2,16,0.125,25,36,0.694,111,1610612743,DEN,L,39,88,0.443,2,15,0.133,21,25,0.84,101
1610612757,POR,20800065,06/11/2008 00:00,POR vs. HOU,W,41,89,0.461,6,18,0.333,13,17,0.765,101,1610612745,HOU,L,37,78,0.474,6,12,0.5,19,23,0.826,99
1610612753,ORL,20800064,06/11/2008 00:00,ORL vs. PHI,W,37,82,0.451,9,25,0.36,15,26,0.577,98,1610612755,PHI,L,36,95,0.379,5,17,0.294,11,13,0.846,88
1610612759,SAS,20800072,07/11/2008 00:00,SAS vs. MIA,L,32,85,0.376,11,35,0.314,8,13,0.615,83,1610612748,MIA,W,36,77,0.468,7,16,0.438,20,22,0.909,99
1610612744,GSW,20800077,07/11/2008 00:00,GSW vs. MEM,L,36,84,0.429,2,12,0.167,30,43,0.698,104,1610612763,MEM,W,41,89,0.461,5,17,0.294,22,30,0.733,109
